,,,,,,"Canon 80D Kit, T28-75mm lens, C75-300 lens",,,,,,,,
,,,,,,"Canon Rebel T6 Kit, C18-55mm lens",,,,,,,,
,,,,,,"Canon SL3 Kit (1), C75-300mm lens, C18-55mm lens",,,,,,,,
Rode Mic 1,,,,,,"Canon SL3 Kit (2), C75-300mm lens, C18-200mm lens",,,,,,,,
Rode Mic 2,,,,,,"Canon 70D Kit, C75-300mm lens, T18-200mm lens",,,,,,,,
Rode Mic 3,,,,,,"Canon 60D Kit, T18-270mm lens",,,,,,,,
Rode Mic 4,,,,,,"Canon 50D Kit, T18-270mm lens",,,,,,,,
Rode Mic 5,,,,,,"Canon Rebel T6 Kit (2), T28-75mm lens",,,,,,,,
Rode Mic 6,,,,,,"Canon R6 MK1, 24-105mm lens, 15-30mm lens",,,,,,,,
Rode Mic 7 Dual Mic,,,,,,"Canon R6 MK2 (1), 24-50mm lens",,,,,,,,
,,,,,,"Canon R6 MK2 (2), 24-50mm lens",,,,,,,,
,,,,,,"Canon R6 MK2 (3), 24-50mm lens",,,,,,,,
,,,,,,"Canon R6 MK2 (4), 24-50mm lens",,,,,,,,
,,,,,,"Canon R6 MK2 (5), 24-50mm lens",,,,,,,,
,,,,,,"Canon R6 MK2 (6), 24-50mm lens",,,,,,,,
,,,,,,"Canon M50 MK2 Kit (3), 15-45mm lens",,,,,,,,
,,,,,,,,,,,,,,
PRODUCT  DETAILS,,,,,,,,,,,,,,
Full Name,Brand,Model,Addt'l,Category,Kit,BARCODE/SKU,SKU (duplicate check),SKU Index,Similar SKUs Count,SKU (name only),Similar SKU Count (name only),Kit Barcodes/SKU,,
MacBook Pro #1,MacBook,Pro,,,,MACBOOK-PRO-1,MACBOOK-PRO,1,5,,,,,
MacBook Pro #2,MacBook,Pro,,,,MACBOOK-PRO-2,MACBOOK-PRO,2,5,,,,,
MacBook Pro #3,MacBook,Pro,,,,MACBOOK-PRO-3,MACBOOK-PRO,3,5,,,,,
MacBook Pro #4,MacBook,Pro,,,,MACBOOK-PRO-4,MACBOOK-PRO,4,5,,,,,
MacBook Pro #5,MacBook,Pro,,,,MACBOOK-PRO-5,MACBOOK-PRO,5,5,,,,,
Canon M50 MK2 Kit #2,Canon,M50,Mk2,,KMain,CANON-M50-MK2-KMAIN-2,CANON-M50-MK2-KMAIN,2,2,,,,,
Tripod #1,Tripod,,,,,TRIPOD-1,TRIPOD-1,,1,Tripod,1,,,
Tripod #2,Tripod,,,,,TRIPOD-2,TRIPOD-2,,1,Tripod,2,,,
Tripod #3,Tripod,,,,,TRIPOD-3,TRIPOD-3,,1,Tripod,3,,,
Tripod #4,Tripod,,,,,TRIPOD-4,TRIPOD-4,,1,Tripod,4,,,
Tripod #5,Tripod,,,,,TRIPOD-5,TRIPOD-5,,1,Tripod,5,,,
Tripod #6,Tripod,,,,,TRIPOD-6,TRIPOD-6,,1,Tripod,6,,,
Tripod #7,Tripod,,,,,TRIPOD-7,TRIPOD-7,,1,Tripod,7,,,
Tripod #8,Tripod,,,,,TRIPOD-8,TRIPOD-8,,1,Tripod,8,,,
Canon 15-45mm Kit Lens #1,Canon,15/45,,Lens,KPart,CANON-15/45-LENS-KPART-1,CANON-15/45-LENS-KPART,1,2,,,,,
Canon 55-250mm Kit Lens,Canon,55/250,,Lens,KPart,CANON-55/250-LENS-KPART,CANON-55/250-LENS-KPART,,1,,,,,
Canon 15-45mm Kit Lens #2,Canon,15/45,,Lens,KPart,CANON-15/45-LENS-KPART-2,CANON-15/45-LENS-KPART,2,2,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
